QuoteTime,mid weighted,VWAP,y
2018-10-19 04:16:13.731,25135.25,25140.88163265306,-5.631632653061388
2018-10-19 04:16:13.731,25134.5,25140.88163265306,-6.381632653061388
2018-10-19 04:16:14.269,25135.0,25140.83805668016,-5.838056680160662
2018-10-19 04:16:14.269,25135.166666666668,25140.83805668016,-5.671390013492783
2018-10-19 04:16:14.269,25135.285714285714,25140.83805668016,-5.552342394446896
2018-10-19 04:16:14.269,25135.333333333332,25140.83805668016,-5.504723346828541
2018-10-19 04:16:14.809,25134.4,25140.814516129034,-6.414516129032563
2018-10-19 04:16:14.809,25134.5,25140.814516129034,-6.314516129034018
2018-10-19 04:16:15.141,25135.0,25140.78,-5.779999999998836
2018-10-19 04:16:15.141,25135.333333333332,25140.78,-5.446666666666715
2018-10-19 04:16:15.141,25136.5,25140.78,-4.279999999998836
2018-10-19 04:16:15.141,25139.5,25140.78,-1.2799999999988358
2018-10-19 04:16:15.680,25138.5,25140.78,-2.279999999998836
2018-10-19 04:16:15.680,25136.75,25140.78,-4.029999999998836
2018-10-19 04:16:15.681,25136.5,25140.78,-4.279999999998836
2018-10-19 04:16:16.219,25136.333333333332,25140.78,-4.446666666666715
2018-10-19 04:16:16.220,25136.0,25140.78,-4.779999999998836
2018-10-19 04:16:16.220,25135.666666666668,25140.78,-5.1133333333309565
2018-10-19 04:16:16.759,25137.0,25140.76892430279,-3.768924302788946
2018-10-19 04:16:16.759,25137.666666666668,25140.76892430279,-3.1022576361210668
2018-10-19 04:16:16.759,25138.25,25140.76892430279,-2.518924302788946
2018-10-19 04:16:16.759,25137.714285714286,25140.76892430279,-3.054638588502712
2018-10-19 04:16:17.299,25137.666666666668,25140.761904761905,-3.0952380952367093
2018-10-19 04:16:17.299,25137.8,25140.761904761905,-2.9619047619053163
2018-10-19 04:16:17.299,25138.0,25140.761904761905,-2.7619047619045887
2018-10-19 04:16:17.299,25138.5,25140.761904761905,-2.2619047619045887
2018-10-19 04:16:17.840,25138.571428571428,25140.728346456694,-2.1569178852660116
2018-10-19 04:16:17.840,25136.85714285714,25140.728346456694,-3.8712035995522456
2018-10-19 04:16:17.840,25137.714285714286,25140.728346456694,-3.0140607424073096
2018-10-19 04:16:17.840,25137.75,25140.728346456694,-2.9783464566935436
2018-10-19 04:16:18.920,25137.6,25140.678294573645,-3.078294573646417
2018-10-19 04:16:18.920,25137.666666666668,25140.678294573645,-3.0116279069770826
2018-10-19 04:16:18.920,25137.25,25140.678294573645,-3.428294573644962
2018-10-19 04:16:18.920,25137.666666666668,25140.678294573645,-3.0116279069770826
2018-10-19 04:16:19.460,25136.5,25140.660231660233,-4.1602316602329665
